Image,Label,Value
153.jpg,infix,-2
154.jpg,prefix,3
155.jpg,postfix,3
156.jpg,infix,3
157.jpg,prefix,5
158.jpg,postfix,5
159.jpg,infix,5
160.jpg,prefix,-3
161.jpg,postfix,-3
162.jpg,infix,-3
163.jpg,prefix,4
164.jpg,postfix,4
165.jpg,infix,4
166.jpg,prefix,6
167.jpg,postfix,6
168.jpg,infix,6
169.jpg,prefix,-4
170.jpg,postfix,-4
171.jpg,infix,-4
172.jpg,prefix,5
173.jpg,postfix,5
174.jpg,infix,5
175.jpg,prefix,7
176.jpg,postfix,7
177.jpg,infix,7
178.jpg,prefix,-5
179.jpg,postfix,-5
180.jpg,infix,-5
181.jpg,prefix,6
182.jpg,postfix,6
183.jpg,infix,6
184.jpg,prefix,8
185.jpg,postfix,8
186.jpg,infix,8
187.jpg,prefix,-6
188.jpg,postfix,-6
189.jpg,infix,-6
190.jpg,prefix,7
191.jpg,postfix,7
192.jpg,infix,7
193.jpg,prefix,9
194.jpg,postfix,9
195.jpg,infix,9
196.jpg,prefix,-7
197.jpg,postfix,-7
198.jpg,infix,-7
199.jpg,prefix,8
200.jpg,postfix,8
201.jpg,infix,8
202.jpg,prefix,10
203.jpg,postfix,10
204.jpg,infix,10
205.jpg,prefix,-8
206.jpg,postfix,-8
207.jpg,infix,-8
208.jpg,prefix,9
209.jpg,postfix,9
210.jpg,infix,9
211.jpg,prefix,2
212.jpg,postfix,2
213.jpg,infix,2
214.jpg,prefix,2
215.jpg,postfix,2
216.jpg,infix,2
217.jpg,prefix,0
218.jpg,postfix,0
219.jpg,infix,0
220.jpg,prefix,3
221.jpg,postfix,3
222.jpg,infix,3
223.jpg,prefix,1
224.jpg,postfix,1
225.jpg,infix,1
226.jpg,prefix,2
227.jpg,postfix,2
228.jpg,infix,2
229.jpg,prefix,2
230.jpg,postfix,2
231.jpg,infix,2
232.jpg,prefix,4
233.jpg,postfix,4
234.jpg,infix,4
235.jpg,prefix,0
236.jpg,postfix,0
237.jpg,infix,0
238.jpg,prefix,4
239.jpg,postfix,4
240.jpg,infix,4
241.jpg,prefix,1
242.jpg,postfix,1
243.jpg,infix,1
244.jpg,prefix,5
245.jpg,postfix,5
246.jpg,infix,5
247.jpg,prefix,-1
248.jpg,postfix,-1
249.jpg,infix,-1
250.jpg,prefix,6
251.jpg,postfix,6
252.jpg,infix,6
253.jpg,prefix,6
254.jpg,postfix,6
255.jpg,infix,6
256.jpg,prefix,-2
257.jpg,postfix,-2
258.jpg,infix,-2
259.jpg,prefix,8
260.jpg,postfix,8
261.jpg,infix,8
262.jpg,prefix,7
263.jpg,postfix,7
264.jpg,infix,7
265.jpg,prefix,-3
266.jpg,postfix,-3
267.jpg,infix,-3
268.jpg,prefix,10
269.jpg,postfix,10
270.jpg,infix,10
271.jpg,prefix,8
272.jpg,postfix,8
273.jpg,infix,8
274.jpg,prefix,-4
275.jpg,postfix,-4
276.jpg,infix,-4
277.jpg,prefix,12
278.jpg,postfix,12
279.jpg,infix,12
280.jpg,prefix,9
281.jpg,postfix,9
282.jpg,infix,9
283.jpg,prefix,-5
284.jpg,postfix,-5
285.jpg,infix,-5
286.jpg,prefix,14
287.jpg,postfix,14
288.jpg,infix,14
289.jpg,prefix,10
290.jpg,postfix,10
291.jpg,infix,10
292.jpg,prefix,-6
293.jpg,postfix,-6
294.jpg,infix,-6
295.jpg,prefix,16
296.jpg,postfix,16
297.jpg,infix,16
298.jpg,prefix,11
299.jpg,postfix,11
300.jpg,infix,11
301.jpg,prefix,-7
302.jpg,postfix,-7
303.jpg,infix,-7
304.jpg,prefix,18
305.jpg,postfix,18
306.jpg,infix,18
307.jpg,prefix,3
308.jpg,postfix,3
309.jpg,infix,3
310.jpg,prefix,3
311.jpg,postfix,3
312.jpg,infix,3
313.jpg,prefix,0
314.jpg,postfix,0
315.jpg,infix,0
316.jpg,prefix,4
317.jpg,postfix,4
318.jpg,infix,4
319.jpg,prefix,2
320.jpg,postfix,2
321.jpg,infix,2
322.jpg,prefix,3
323.jpg,postfix,3
324.jpg,infix,3
325.jpg,prefix,3
326.jpg,postfix,3
327.jpg,infix,3
328.jpg,prefix,5
329.jpg,postfix,5
330.jpg,infix,5
331.jpg,prefix,1
332.jpg,postfix,1
333.jpg,infix,1
334.jpg,prefix,6
335.jpg,postfix,6
336.jpg,infix,6
337.jpg,prefix,6
338.jpg,postfix,6
339.jpg,infix,6
340.jpg,prefix,0
341.jpg,postfix,0
342.jpg,infix,0
343.jpg,prefix,9
344.jpg,postfix,9
345.jpg,infix,9
346.jpg,prefix,1
347.jpg,postfix,1
348.jpg,infix,1
349.jpg,prefix,7
350.jpg,postfix,7
351.jpg,infix,7
352.jpg,prefix,-1
353.jpg,postfix,-1
354.jpg,infix,-1
355.jpg,prefix,12
356.jpg,postfix,12
357.jpg,infix,12
358.jpg,prefix,8
359.jpg,postfix,8
360.jpg,infix,8
361.jpg,prefix,-2
362.jpg,postfix,-2
363.jpg,infix,-2
364.jpg,prefix,15
365.jpg,postfix,15
366.jpg,infix,15
367.jpg,prefix,9
368.jpg,postfix,9
369.jpg,infix,9
370.jpg,prefix,-3
371.jpg,postfix,-3
372.jpg,infix,-3
373.jpg,prefix,18
374.jpg,postfix,18
375.jpg,infix,18
376.jpg,prefix,10
377.jpg,postfix,10
378.jpg,infix,10
379.jpg,prefix,-4
380.jpg,postfix,-4
381.jpg,infix,-4
382.jpg,prefix,21
383.jpg,postfix,21
384.jpg,infix,21
385.jpg,prefix,11
386.jpg,postfix,11
387.jpg,infix,11
388.jpg,prefix,-5
389.jpg,postfix,-5
390.jpg,infix,-5
391.jpg,prefix,24
392.jpg,postfix,24
393.jpg,infix,24
394.jpg,prefix,12
395.jpg,postfix,12
396.jpg,infix,12
397.jpg,prefix,-6
398.jpg,postfix,-6
399.jpg,infix,-6
400.jpg,prefix,27
401.jpg,postfix,27
402.jpg,infix,27
403.jpg,prefix,4
404.jpg,postfix,4
405.jpg,infix,4
406.jpg,prefix,4
407.jpg,postfix,4
408.jpg,infix,4
409.jpg,prefix,0
410.jpg,postfix,0
411.jpg,infix,0
412.jpg,prefix,5
413.jpg,postfix,5
414.jpg,infix,5
415.jpg,prefix,3
416.jpg,postfix,3
417.jpg,infix,3
418.jpg,prefix,4
419.jpg,postfix,4
420.jpg,infix,4
421.jpg,prefix,4
422.jpg,postfix,4
423.jpg,infix,4
424.jpg,prefix,6
425.jpg,postfix,6
426.jpg,infix,6
427.jpg,prefix,2
428.jpg,postfix,2
429.jpg,infix,2
430.jpg,prefix,8
431.jpg,postfix,8
432.jpg,infix,8
433.jpg,prefix,2
434.jpg,postfix,2
435.jpg,infix,2
436.jpg,prefix,7
437.jpg,postfix,7
438.jpg,infix,7
439.jpg,prefix,1
440.jpg,postfix,1
441.jpg,infix,1
442.jpg,prefix,12
443.jpg,postfix,12
444.jpg,infix,12
445.jpg,prefix,8
446.jpg,postfix,8
447.jpg,infix,8
448.jpg,prefix,0
449.jpg,postfix,0
450.jpg,infix,0
451.jpg,prefix,16
452.jpg,postfix,16
453.jpg,infix,16
454.jpg,prefix,1
455.jpg,postfix,1
456.jpg,infix,1
457.jpg,prefix,9
458.jpg,postfix,9
459.jpg,infix,9
460.jpg,prefix,-1
461.jpg,postfix,-1
462.jpg,infix,-1
463.jpg,prefix,20
464.jpg,postfix,20
465.jpg,infix,20
466.jpg,prefix,10
467.jpg,postfix,10
468.jpg,infix,10
469.jpg,prefix,-2
470.jpg,postfix,-2
471.jpg,infix,-2
472.jpg,prefix,24
473.jpg,postfix,24
474.jpg,infix,24
475.jpg,prefix,11
476.jpg,postfix,11
477.jpg,infix,11
478.jpg,prefix,-3
479.jpg,postfix,-3
480.jpg,infix,-3
481.jpg,prefix,28
482.jpg,postfix,28
483.jpg,infix,28
484.jpg,prefix,12
485.jpg,postfix,12
486.jpg,infix,12
487.jpg,prefix,-4
488.jpg,postfix,-4
489.jpg,infix,-4
490.jpg,prefix,32
491.jpg,postfix,32
492.jpg,infix,32
493.jpg,prefix,13
494.jpg,postfix,13
495.jpg,infix,13
496.jpg,prefix,-5
497.jpg,postfix,-5
498.jpg,infix,-5
499.jpg,prefix,36
500.jpg,postfix,36
501.jpg,infix,36
502.jpg,prefix,5
503.jpg,postfix,5
504.jpg,infix,5
505.jpg,prefix,5
506.jpg,postfix,5
507.jpg,infix,5
508.jpg,prefix,0
509.jpg,postfix,0
510.jpg,infix,0
511.jpg,prefix,6
512.jpg,postfix,6
513.jpg,infix,6
514.jpg,prefix,4
515.jpg,postfix,4
516.jpg,infix,4
517.jpg,prefix,5
518.jpg,postfix,5
519.jpg,infix,5
520.jpg,prefix,5
521.jpg,postfix,5
522.jpg,infix,5
523.jpg,prefix,7
524.jpg,postfix,7
525.jpg,infix,7
526.jpg,prefix,3
527.jpg,postfix,3
528.jpg,infix,3
529.jpg,prefix,10
530.jpg,postfix,10
531.jpg,infix,10
532.jpg,prefix,8
533.jpg,postfix,8
534.jpg,infix,8
535.jpg,prefix,2
536.jpg,postfix,2
537.jpg,infix,2
538.jpg,prefix,15
539.jpg,postfix,15
540.jpg,infix,15
541.jpg,prefix,9
542.jpg,postfix,9
543.jpg,infix,9
544.jpg,prefix,1
545.jpg,postfix,1
546.jpg,infix,1
547.jpg,prefix,20
548.jpg,postfix,20
549.jpg,infix,20
550.jpg,prefix,10
551.jpg,postfix,10
552.jpg,infix,10
553.jpg,prefix,0
554.jpg,postfix,0
555.jpg,infix,0
556.jpg,prefix,25
557.jpg,postfix,25
558.jpg,infix,25
559.jpg,prefix,1
560.jpg,postfix,1
561.jpg,infix,1
562.jpg,prefix,11
563.jpg,postfix,11
564.jpg,infix,11
565.jpg,prefix,-1
566.jpg,postfix,-1
567.jpg,infix,-1
568.jpg,prefix,30
569.jpg,postfix,30
570.jpg,infix,30
571.jpg,prefix,12
572.jpg,postfix,12
573.jpg,infix,12
574.jpg,prefix,-2
575.jpg,postfix,-2
576.jpg,infix,-2
577.jpg,prefix,35
578.jpg,postfix,35
579.jpg,infix,35
580.jpg,prefix,13
581.jpg,postfix,13
582.jpg,infix,13
583.jpg,prefix,-3
584.jpg,postfix,-3
585.jpg,infix,-3
586.jpg,prefix,40
587.jpg,postfix,40
588.jpg,infix,40
589.jpg,prefix,14
590.jpg,postfix,14
591.jpg,infix,14
592.jpg,prefix,-4
593.jpg,postfix,-4
594.jpg,infix,-4
595.jpg,prefix,45
596.jpg,postfix,45
597.jpg,infix,45
598.jpg,prefix,6
599.jpg,postfix,6
600.jpg,infix,6
601.jpg,prefix,6
602.jpg,postfix,6
603.jpg,infix,6
604.jpg,prefix,0
605.jpg,postfix,0
606.jpg,infix,0
607.jpg,prefix,7
608.jpg,postfix,7
609.jpg,infix,7
610.jpg,prefix,5
611.jpg,postfix,5
612.jpg,infix,5
613.jpg,prefix,6
614.jpg,postfix,6
615.jpg,infix,6
616.jpg,prefix,6
617.jpg,postfix,6
618.jpg,infix,6
619.jpg,prefix,8
620.jpg,postfix,8
621.jpg,infix,8
622.jpg,prefix,4
623.jpg,postfix,4
624.jpg,infix,4
625.jpg,prefix,12
626.jpg,postfix,12
627.jpg,infix,12
628.jpg,prefix,3
629.jpg,postfix,3
630.jpg,infix,3
631.jpg,prefix,9
632.jpg,postfix,9
633.jpg,infix,9
634.jpg,prefix,3
635.jpg,postfix,3
636.jpg,infix,3
637.jpg,prefix,18
638.jpg,postfix,18
639.jpg,infix,18
640.jpg,prefix,2
641.jpg,postfix,2
642.jpg,infix,2
643.jpg,prefix,10
644.jpg,postfix,10
645.jpg,infix,10
646.jpg,prefix,2
647.jpg,postfix,2
648.jpg,infix,2
649.jpg,prefix,24
650.jpg,postfix,24
651.jpg,infix,24
652.jpg,prefix,11
653.jpg,postfix,11
654.jpg,infix,11
655.jpg,prefix,1
656.jpg,postfix,1
657.jpg,infix,1
658.jpg,prefix,30
659.jpg,postfix,30
660.jpg,infix,30
661.jpg,prefix,12
662.jpg,postfix,12
663.jpg,infix,12
664.jpg,prefix,0
665.jpg,postfix,0
666.jpg,infix,0
667.jpg,prefix,36
668.jpg,postfix,36
669.jpg,infix,36
670.jpg,prefix,1
671.jpg,postfix,1
672.jpg,infix,1
673.jpg,prefix,13
674.jpg,postfix,13
675.jpg,infix,13
676.jpg,prefix,-1
677.jpg,postfix,-1
678.jpg,infix,-1
679.jpg,prefix,42
680.jpg,postfix,42
681.jpg,infix,42
682.jpg,prefix,14
683.jpg,postfix,14
684.jpg,infix,14
685.jpg,prefix,-2
686.jpg,postfix,-2
687.jpg,infix,-2
688.jpg,prefix,48
689.jpg,postfix,48
690.jpg,infix,48
691.jpg,prefix,15
692.jpg,postfix,15
693.jpg,infix,15
694.jpg,prefix,-3
695.jpg,postfix,-3
696.jpg,infix,-3
697.jpg,prefix,54
698.jpg,postfix,54
699.jpg,infix,54
700.jpg,prefix,7
701.jpg,postfix,7
702.jpg,infix,7
703.jpg,prefix,7
704.jpg,postfix,7
705.jpg,infix,7
706.jpg,prefix,0
707.jpg,postfix,0
708.jpg,infix,0
709.jpg,prefix,8
710.jpg,postfix,8
711.jpg,infix,8
712.jpg,prefix,6
713.jpg,postfix,6
714.jpg,infix,6
715.jpg,prefix,7
716.jpg,postfix,7
717.jpg,infix,7
718.jpg,prefix,7
719.jpg,postfix,7
720.jpg,infix,7
721.jpg,prefix,9
722.jpg,postfix,9
723.jpg,infix,9
724.jpg,prefix,5
725.jpg,postfix,5
726.jpg,infix,5
727.jpg,prefix,14
728.jpg,postfix,14
729.jpg,infix,14
730.jpg,prefix,10
731.jpg,postfix,10
732.jpg,infix,10
733.jpg,prefix,4
734.jpg,postfix,4
735.jpg,infix,4
736.jpg,prefix,21
737.jpg,postfix,21
738.jpg,infix,21
739.jpg,prefix,11
740.jpg,postfix,11
741.jpg,infix,11
742.jpg,prefix,3
743.jpg,postfix,3
744.jpg,infix,3
745.jpg,prefix,28
746.jpg,postfix,28
747.jpg,infix,28
748.jpg,prefix,12
749.jpg,postfix,12
750.jpg,infix,12
751.jpg,prefix,2
752.jpg,postfix,2
753.jpg,infix,2
754.jpg,prefix,35
755.jpg,postfix,35
756.jpg,infix,35
757.jpg,prefix,13
758.jpg,postfix,13
759.jpg,infix,13
760.jpg,prefix,1
761.jpg,postfix,1
762.jpg,infix,1
763.jpg,prefix,42
764.jpg,postfix,42
765.jpg,infix,42
766.jpg,prefix,14
767.jpg,postfix,14
768.jpg,infix,14
769.jpg,prefix,0
770.jpg,postfix,0
771.jpg,infix,0
772.jpg,prefix,49
773.jpg,postfix,49
774.jpg,infix,49
775.jpg,prefix,1
776.jpg,postfix,1
777.jpg,infix,1
778.jpg,prefix,15
779.jpg,postfix,15
780.jpg,infix,15
781.jpg,prefix,-1
782.jpg,postfix,-1
783.jpg,infix,-1
784.jpg,prefix,56
785.jpg,postfix,56
786.jpg,infix,56
787.jpg,prefix,16
788.jpg,postfix,16
789.jpg,infix,16
790.jpg,prefix,-2
791.jpg,postfix,-2
792.jpg,infix,-2
793.jpg,prefix,63
794.jpg,postfix,63
795.jpg,infix,63
796.jpg,prefix,8
797.jpg,postfix,8
798.jpg,infix,8
799.jpg,prefix,8
800.jpg,postfix,8
801.jpg,infix,8
802.jpg,prefix,0
803.jpg,postfix,0
804.jpg,infix,0
805.jpg,prefix,9
806.jpg,postfix,9
807.jpg,infix,9
808.jpg,prefix,7
809.jpg,postfix,7
810.jpg,infix,7
811.jpg,prefix,8
812.jpg,postfix,8
813.jpg,infix,8
814.jpg,prefix,8
815.jpg,postfix,8
816.jpg,infix,8
817.jpg,prefix,10
818.jpg,postfix,10
819.jpg,infix,10
820.jpg,prefix,6
821.jpg,postfix,6
822.jpg,infix,6
823.jpg,prefix,16
824.jpg,postfix,16
825.jpg,infix,16
826.jpg,prefix,4
827.jpg,postfix,4
828.jpg,infix,4
829.jpg,prefix,11
830.jpg,postfix,11
831.jpg,infix,11
832.jpg,prefix,5
833.jpg,postfix,5
834.jpg,infix,5
835.jpg,prefix,24
836.jpg,postfix,24
837.jpg,infix,24
838.jpg,prefix,12
839.jpg,postfix,12
840.jpg,infix,12
841.jpg,prefix,4
842.jpg,postfix,4
843.jpg,infix,4
844.jpg,prefix,32
845.jpg,postfix,32
846.jpg,infix,32
847.jpg,prefix,2
848.jpg,postfix,2
849.jpg,infix,2
850.jpg,prefix,13
851.jpg,postfix,13
852.jpg,infix,13
853.jpg,prefix,3
854.jpg,postfix,3
855.jpg,infix,3
856.jpg,prefix,40
857.jpg,postfix,40
858.jpg,infix,40
859.jpg,prefix,14
860.jpg,postfix,14
861.jpg,infix,14
862.jpg,prefix,2
863.jpg,postfix,2
864.jpg,infix,2
865.jpg,prefix,48
866.jpg,postfix,48
867.jpg,infix,48
868.jpg,prefix,15
869.jpg,postfix,15
870.jpg,infix,15
871.jpg,prefix,1
872.jpg,postfix,1
873.jpg,infix,1
874.jpg,prefix,56
875.jpg,postfix,56
876.jpg,infix,56
877.jpg,prefix,16
878.jpg,postfix,16
879.jpg,infix,16
880.jpg,prefix,0
881.jpg,postfix,0
882.jpg,infix,0
883.jpg,prefix,64
884.jpg,postfix,64
885.jpg,infix,64
886.jpg,prefix,1
887.jpg,postfix,1
888.jpg,infix,1
889.jpg,prefix,17
890.jpg,postfix,17
891.jpg,infix,17
892.jpg,prefix,-1
893.jpg,postfix,-1
894.jpg,infix,-1
895.jpg,prefix,72
896.jpg,postfix,72
897.jpg,infix,72
898.jpg,prefix,9
899.jpg,postfix,9
900.jpg,infix,9
901.jpg,prefix,9
902.jpg,postfix,9
903.jpg,infix,9
904.jpg,prefix,0
905.jpg,postfix,0
906.jpg,infix,0
907.jpg,prefix,10
908.jpg,postfix,10
909.jpg,infix,10
910.jpg,prefix,8
911.jpg,postfix,8
912.jpg,infix,8
913.jpg,prefix,9
914.jpg,postfix,9
915.jpg,infix,9
916.jpg,prefix,9
917.jpg,postfix,9
918.jpg,infix,9
919.jpg,prefix,11
920.jpg,postfix,11
921.jpg,infix,11
922.jpg,prefix,7
923.jpg,postfix,7
924.jpg,infix,7
925.jpg,prefix,18
926.jpg,postfix,18
927.jpg,infix,18
928.jpg,prefix,12
929.jpg,postfix,12
930.jpg,infix,12
931.jpg,prefix,6
932.jpg,postfix,6
933.jpg,infix,6
934.jpg,prefix,27
935.jpg,postfix,27
936.jpg,infix,27
937.jpg,prefix,3
938.jpg,postfix,3
939.jpg,infix,3
940.jpg,prefix,13
941.jpg,postfix,13
942.jpg,infix,13
943.jpg,prefix,5
944.jpg,postfix,5
945.jpg,infix,5
946.jpg,prefix,36
947.jpg,postfix,36
948.jpg,infix,36
949.jpg,prefix,14
950.jpg,postfix,14
951.jpg,infix,14
952.jpg,prefix,4
953.jpg,postfix,4
954.jpg,infix,4
955.jpg,prefix,45
956.jpg,postfix,45
957.jpg,infix,45
958.jpg,prefix,15
959.jpg,postfix,15
960.jpg,infix,15
961.jpg,prefix,3
962.jpg,postfix,3
963.jpg,infix,3
964.jpg,prefix,54
965.jpg,postfix,54
966.jpg,infix,54
967.jpg,prefix,16
968.jpg,postfix,16
969.jpg,infix,16
970.jpg,prefix,2
971.jpg,postfix,2
972.jpg,infix,2
973.jpg,prefix,63
974.jpg,postfix,63
975.jpg,infix,63
976.jpg,prefix,17
977.jpg,postfix,17
978.jpg,infix,17
979.jpg,prefix,1
980.jpg,postfix,1
981.jpg,infix,1
982.jpg,prefix,72
983.jpg,postfix,72
984.jpg,infix,72
985.jpg,prefix,18
986.jpg,postfix,18
987.jpg,infix,18
988.jpg,prefix,0
989.jpg,postfix,0
990.jpg,infix,0
991.jpg,prefix,81
992.jpg,postfix,81
993.jpg,infix,81
994.jpg,prefix,1
995.jpg,postfix,1
996.jpg,infix,1
997.jpg,prefix,0
998.jpg,postfix,0
999.jpg,infix,0
1000.jpg,prefix,0
1001.jpg,postfix,0
1002.jpg,infix,0
1003.jpg,prefix,0
1004.jpg,postfix,0
1005.jpg,infix,0
1006.jpg,prefix,1
1007.jpg,postfix,1
1008.jpg,infix,1
1009.jpg,prefix,-1
1010.jpg,postfix,-1
1011.jpg,infix,-1
1012.jpg,prefix,0
1013.jpg,postfix,0
1014.jpg,infix,0
1015.jpg,prefix,0
1016.jpg,postfix,0
1017.jpg,infix,0
1018.jpg,prefix,2
1019.jpg,postfix,2
1020.jpg,infix,2
1021.jpg,prefix,-2
1022.jpg,postfix,-2
1023.jpg,infix,-2
1024.jpg,prefix,0
1025.jpg,postfix,0
1026.jpg,infix,0
1027.jpg,prefix,0
1028.jpg,postfix,0
1029.jpg,infix,0
1030.jpg,prefix,3
1031.jpg,postfix,3
1032.jpg,infix,3
1033.jpg,prefix,-3
1034.jpg,postfix,-3
1035.jpg,infix,-3
1036.jpg,prefix,0
1037.jpg,postfix,0
1038.jpg,infix,0
1039.jpg,prefix,0
1040.jpg,postfix,0
1041.jpg,infix,0
1042.jpg,prefix,4
1043.jpg,postfix,4
1044.jpg,infix,4
1045.jpg,prefix,-4
1046.jpg,postfix,-4
1047.jpg,infix,-4
1048.jpg,prefix,0
1049.jpg,postfix,0
1050.jpg,infix,0
1051.jpg,prefix,0
1052.jpg,postfix,0
1053.jpg,infix,0
1054.jpg,prefix,5
1055.jpg,postfix,5
1056.jpg,infix,5
1057.jpg,prefix,-5
1058.jpg,postfix,-5
1059.jpg,infix,-5
1060.jpg,prefix,0
1061.jpg,postfix,0
1062.jpg,infix,0
1063.jpg,prefix,0
1064.jpg,postfix,0
1065.jpg,infix,0
1066.jpg,prefix,6
1067.jpg,postfix,6
1068.jpg,infix,6
1069.jpg,prefix,-6
1070.jpg,postfix,-6
1071.jpg,infix,-6
1072.jpg,prefix,0
1073.jpg,postfix,0
1074.jpg,infix,0
1075.jpg,prefix,0
1076.jpg,postfix,0
1077.jpg,infix,0
1078.jpg,prefix,7
1079.jpg,postfix,7
1080.jpg,infix,7
1081.jpg,prefix,-7
1082.jpg,postfix,-7
1083.jpg,infix,-7
1084.jpg,prefix,0
1085.jpg,postfix,0
1086.jpg,infix,0
1087.jpg,prefix,0
1088.jpg,postfix,0
1089.jpg,infix,0
1090.jpg,prefix,8
1091.jpg,postfix,8
1092.jpg,infix,8
1093.jpg,prefix,-8
1094.jpg,postfix,-8
1095.jpg,infix,-8
1096.jpg,prefix,0
1097.jpg,postfix,0
1098.jpg,infix,0
1099.jpg,prefix,0
1100.jpg,postfix,0
1101.jpg,infix,0
1102.jpg,prefix,9
1103.jpg,postfix,9
1104.jpg,infix,9
1105.jpg,prefix,-9
1106.jpg,postfix,-9
1107.jpg,infix,-9
1108.jpg,prefix,0
1109.jpg,postfix,0
1110.jpg,infix,0
1111.jpg,prefix,0
1112.jpg,postfix,0
1113.jpg,infix,0
1114.jpg,prefix,1
1115.jpg,postfix,1
1116.jpg,infix,1
1117.jpg,prefix,1
1118.jpg,postfix,1
1119.jpg,infix,1
1120.jpg,prefix,0
1121.jpg,postfix,0
1122.jpg,infix,0
1123.jpg,prefix,2
1124.jpg,postfix,2
1125.jpg,infix,2
1126.jpg,prefix,0
1127.jpg,postfix,0
1128.jpg,infix,0
1129.jpg,prefix,1
1130.jpg,postfix,1
1131.jpg,infix,1
1132.jpg,prefix,1
1133.jpg,postfix,1
1134.jpg,infix,1
1135.jpg,prefix,3
1136.jpg,postfix,3
1137.jpg,infix,3
1138.jpg,prefix,-1
1139.jpg,postfix,-1
1140.jpg,infix,-1
1141.jpg,prefix,2
1142.jpg,postfix,2
1143.jpg,infix,2
1144.jpg,prefix,4
1145.jpg,postfix,4
1146.jpg,infix,4
1147.jpg,prefix,-2
1148.jpg,postfix,-2
1149.jpg,infix,-2
1150.jpg,prefix,3
1151.jpg,postfix,3
1152.jpg,infix,3
1153.jpg,prefix,5
1154.jpg,postfix,5
1155.jpg,infix,5
1156.jpg,prefix,-3
1157.jpg,postfix,-3
1158.jpg,infix,-3
1159.jpg,prefix,4
1160.jpg,postfix,4
1161.jpg,infix,4
1162.jpg,prefix,6
1163.jpg,postfix,6
1164.jpg,infix,6
1165.jpg,prefix,-4
1166.jpg,postfix,-4
1167.jpg,infix,-4
1168.jpg,prefix,5
